nom,modele,indice,prix,url
"Air Jordan 1 Retro High '85 ""BRED""",,Bon,,https://www.whentocop.fr/drops/air-jordan-1-retro-high-85-bred
"Nike Kobe 6 Protro ""ALL-STAR 2.0""",,Bon,,https://www.whentocop.fr/drops/nike-kobe-6-protro-sail-fq3546-100
"adidas Campus 00s ""LUCID BLUE""",,Bon,78€,https://www.whentocop.fr/drops/adidas-campus-00s-lucid-blue-h03471
"adidas Yeezy Slide ""AZURE""",,Bon,93€,https://www.whentocop.fr/drops/adidas-yeezy-slide-azure
"Air Jordan 4 Retro ""THUNDER""",,Bon,274€,https://www.whentocop.fr/drops/air-jordan-4-retro-thunder
"Nike Kobe 8 Protro ""WHAT THE""",,Bon,,https://www.whentocop.fr/drops/nike-kobe-8-protro-what-the-hm9621-900
"Air Jordan 4 Craft SE ""PHOTON DUST""",,Bon,214€,https://www.whentocop.fr/drops/air-jordan-4-se-craft-dv3742-021
"Air Jordan 11 Retro ""COOL GREY""",,Bon,,https://www.whentocop.fr/drops/nike-air-jordan-11-retro-cool-grey-ct8012-005
"Nike Kobe 4 Protro ""GIFT OF MAMBA""",,Bon,246€,https://www.whentocop.fr/drops/nike-kobe-4-protro-black-gold-fq3544-001
"Nike Air Foamposite One ""GALAXY""",,Bon,,https://www.whentocop.fr/drops/nike-air-foamposite-one-galaxy-2025-fq4303-400
"Nike Air Tech Challenge II QS ""HOT LAVA""",,Bon,,https://www.whentocop.fr/drops/nike-air-tech-challenge-ii-qs-hot-lava-fz9033-001
"New Balance 2002R Protection Pack ""LAVENDER""",,Bon,264€,https://www.whentocop.fr/drops/new-balance-2022r-protection-pack-purple-blue
"Air Jordan 4 Retro ""MIDNIGHT NAVY""",,Excellent,289€,https://www.whentocop.fr/drops/air-jordan-4-retro-navy
